Component,Origin,License
core,"github.com/frapposelli/wwhrd",MIT
core,"github.com/Masterminds/semver",MIT
core,"github.com/Microsoft/go-winio",MIT
core,"github.com/Microsoft/go-winio/pkg/guid",MIT
core,"github.com/beorn7/perks/quantile",MIT
core,"github.com/cespare/xxhash/v2",MIT
core,"github.com/cloudfoundry/gosigar",Apache-2.0
core,"github.com/cloudfoundry/gosigar/sys/windows",Apache-2.0
core,"github.com/coreos/go-systemd/daemon",Apache-2.0
core,"github.com/coreos/go-systemd/dbus",Apache-2.0
core,"github.com/coreos/go-systemd/unit",Apache-2.0
core,"github.com/coreos/go-systemd/util",Apache-2.0
core,"github.com/coreos/pkg/dlopen",Apache-2.0
core,"github.com/cpuguy83/go-md2man/v2/md2man",MIT
core,"github.com/davecgh/go-spew/spew",0BSD
core,"github.com/docker/distribution/digestset",Apache-2.0
core,"github.com/docker/distribution/reference",Apache-2.0
core,"github.com/docker/docker/api/types",Apache-2.0
core,"github.com/docker/docker/api/types/blkiodev",Apache-2.0
core,"github.com/docker/docker/api/types/container",Apache-2.0
core,"github.com/docker/docker/api/types/events",Apache-2.0
core,"github.com/docker/docker/api/types/filters",Apache-2.0
core,"github.com/docker/docker/api/types/mount",Apache-2.0
core,"github.com/docker/docker/api/types/network",Apache-2.0
core,"github.com/docker/docker/api/types/reference",Apache-2.0
core,"github.com/docker/docker/api/types/registry",Apache-2.0
core,"github.com/docker/docker/api/types/strslice",Apache-2.0
core,"github.com/docker/docker/api/types/swarm",Apache-2.0
core,"github.com/docker/docker/api/types/time",Apache-2.0
core,"github.com/docker/docker/api/types/versions",Apache-2.0
core,"github.com/docker/docker/api/types/volume",Apache-2.0
core,"github.com/docker/docker/client",Apache-2.0
core,"github.com/docker/docker/pkg/tlsconfig",Apache-2.0
core,"github.com/docker/go-connections/nat",Apache-2.0
core,"github.com/docker/go-connections/sockets",Apache-2.0
core,"github.com/docker/go-connections/tlsconfig",Apache-2.0
core,"github.com/docker/go-units",Apache-2.0
core,"github.com/fatih/structs",MIT
core,"github.com/fsnotify/fsnotify",BSD-3-Clause
core,"github.com/godbus/dbus",BSD-2-Clause
core,"github.com/gogo/protobuf/proto",UNKNOWN
core,"github.com/gogo/protobuf/sortkeys",UNKNOWN
core,"github.com/golang/glog",Apache-2.0
core,"github.com/golang/protobuf/proto",BSD-3-Clause
core,"github.com/golang/protobuf/ptypes",BSD-3-Clause
core,"github.com/golang/protobuf/ptypes/any",BSD-3-Clause
core,"github.com/golang/protobuf/ptypes/duration",BSD-3-Clause
core,"github.com/golang/protobuf/ptypes/timestamp",BSD-3-Clause
core,"github.com/golang/snappy",BSD-3-Clause
core,"github.com/google/gofuzz",Apache-2.0
core,"github.com/googleapis/gnostic/OpenAPIv2",Apache-2.0
core,"github.com/googleapis/gnostic/compiler",Apache-2.0
core,"github.com/googleapis/gnostic/extensions",Apache-2.0
core,"github.com/gorilla/mux",BSD-3-Clause
core,"github.com/hashicorp/errwrap",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/go-cleanhttp",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/go-multierror",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/go-retryablehttp",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/go-rootcerts",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/go-sockaddr",MPL-2.0
core,"github.com/hashicorp/hcl",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/hcl/hcl/ast",MPL-2.0
core,"github.com/hashicorp/hcl/hcl/parser",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/hcl/hcl/printer",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/hcl/hcl/scanner",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/hcl/hcl/strconv",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/hcl/hcl/token",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/hcl/json/parser",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/hcl/json/scanner",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/hcl/json/token",MPL-2.0
core,"github.com/hashicorp/vault/api",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/vault/sdk/helper/compressutil",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/vault/sdk/helper/consts",MPL-2.0-no-copyleft-exception
core,"github.com/hashicorp/vault/sdk/helper/hclutil",MPL-2.0
core,"github.com/hashicorp/vault/sdk/helper/jsonutil",MPL-2.0
core,"github.com/hashicorp/vault/sdk/helper/parseutil",MPL-2.0
core,"github.com/hashicorp/vault/sdk/helper/strutil",MPL-2.0
core,"github.com/imdario/mergo",BSD-3-Clause
core,"github.com/inconshreveable/mousetrap",Apache-2.0
core,"github.com/json-iterator/go",MIT
core,"github.com/magiconair/properties",BSD-Protection
core,"github.com/matttproud/golang_protobuf_extensions/pbutil",Apache-2.0
core,"github.com/miekg/dns",BSD-3-Clause
core,"github.com/mitchellh/go-homedir",MIT
core,"github.com/mitchellh/mapstructure",MIT
core,"github.com/modern-go/concurrent",Apache-2.0
core,"github.com/modern-go/reflect2",Apache-2.0
core,"github.com/opencontainers/go-digest",Apache-2.0
core,"github.com/pelletier/go-toml",MIT
core,"github.com/pierrec/lz4",BSD-3-Clause
core,"github.com/pierrec/lz4/internal/xxh32",BSD-3-Clause
core,"github.com/pkg/errors",BSD-2-Clause
core,"github.com/prometheus/client_golang/prometheus",Apache-2.0
core,"github.com/prometheus/client_golang/prometheus/internal",Apache-2.0
core,"github.com/prometheus/client_golang/prometheus/promhttp",Apache-2.0
core,"github.com/prometheus/client_model/go",Apache-2.0
core,"github.com/prometheus/common/expfmt",Apache-2.0
core,"github.com/prometheus/common/internal/bitbucket.org/ww/goautoneg",Unlicense
core,"github.com/prometheus/common/model",Apache-2.0
core,"github.com/prometheus/procfs",Apache-2.0
core,"github.com/prometheus/procfs/internal/fs",Apache-2.0
core,"github.com/prometheus/procfs/internal/util",Apache-2.0
core,"github.com/russross/blackfriday/v2",BSD-2-Clause
core,"github.com/ryanuber/go-glob",MIT
core,"github.com/shurcooL/sanitized_anchor_name",MIT
core,"github.com/spf13/afero",Apache-2.0
core,"github.com/spf13/afero/mem",Apache-2.0
core,"github.com/spf13/cast",MIT
core,"github.com/spf13/cobra",Apache-2.0
core,"github.com/spf13/jwalterweatherman",MIT
core,"github.com/spf13/pflag",BSD-3-Clause
core,"github.com/spf13/viper",MIT
core,"github.com/subosito/gotenv",MIT
core,"golang.org/x/crypto/ed25519",BSD-3-Clause
core,"golang.org/x/crypto/ed25519/internal/edwards25519",BSD-3-Clause
core,"golang.org/x/crypto/pbkdf2",BSD-3-Clause
core,"golang.org/x/crypto/ssh/terminal",BSD-3-Clause
core,"golang.org/x/net/bpf",BSD-3-Clause
core,"golang.org/x/net/context",BSD-3-Clause
core,"golang.org/x/net/context/ctxhttp",BSD-3-Clause
core,"golang.org/x/net/http/httpguts",BSD-3-Clause
core,"golang.org/x/net/http2",BSD-3-Clause
core,"golang.org/x/net/http2/hpack",BSD-3-Clause
core,"golang.org/x/net/idna",BSD-3-Clause
core,"golang.org/x/net/internal/iana",BSD-3-Clause
core,"golang.org/x/net/internal/socket",BSD-3-Clause
core,"golang.org/x/net/internal/socks",BSD-3-Clause
core,"golang.org/x/net/ipv4",BSD-3-Clause
core,"golang.org/x/net/ipv6",BSD-3-Clause
core,"golang.org/x/net/proxy",BSD-3-Clause
core,"golang.org/x/oauth2",BSD-3-Clause
core,"golang.org/x/oauth2/internal",BSD-3-Clause
core,"golang.org/x/sys/unix",BSD-3-Clause
core,"golang.org/x/sys/windows",BSD-3-Clause
core,"golang.org/x/text/secure/bidirule",BSD-3-Clause
core,"golang.org/x/text/transform",BSD-3-Clause
core,"golang.org/x/text/unicode/bidi",BSD-3-Clause
core,"golang.org/x/text/unicode/norm",BSD-3-Clause
core,"golang.org/x/time/rate",BSD-3-Clause
core,"google.golang.org/appengine/internal",Apache-2.0
core,"google.golang.org/appengine/internal/base",Apache-2.0
core,"google.golang.org/appengine/internal/datastore",Apache-2.0
core,"google.golang.org/appengine/internal/log",Apache-2.0
core,"google.golang.org/appengine/internal/remote_api",Apache-2.0
core,"google.golang.org/appengine/internal/urlfetch",Apache-2.0
core,"google.golang.org/appengine/urlfetch",Apache-2.0
core,"google.golang.org/protobuf/encoding/prototext",BSD-3-Clause
core,"google.golang.org/protobuf/encoding/protowire",BSD-3-Clause
core,"google.golang.org/protobuf/internal/descfmt",BSD-3-Clause
core,"google.golang.org/protobuf/internal/descopts",BSD-3-Clause
core,"google.golang.org/protobuf/internal/detrand",BSD-3-Clause
